date,segment,series,usd_per_gb,n_obs,in_stock_rate
2026-08-07,ddr4_desktop,basket,6.5625,4,0.667
2026-08-07,ddr4_desktop,floor,3.9831,4,
2026-08-07,ddr5_desktop,basket,15.3219,2,0.2
2026-08-07,ddr5_desktop,floor,14.3422,2,
2026-08-07,server_ecc,basket,32.655,3,0.5
2026-08-07,server_ecc,floor,32.655,3,
2026-08-07,sodimm,basket,11.9005,4,0.8
2026-08-07,sodimm,floor,9.6562,4,
2026-08-08,ddr4_desktop,basket,6.5625,4,0.667
2026-08-08,ddr4_desktop,floor,3.9831,4,
2026-08-08,ddr5_desktop,basket,15.7034,3,0.3
2026-08-08,ddr5_desktop,floor,14.3422,3,
2026-08-08,server_ecc,basket,33.5148,2,0.333
2026-08-08,server_ecc,floor,32.655,2,
2026-08-08,sodimm,basket,12.4473,4,0.8
2026-08-08,sodimm,floor,10.9375,4,
2026-08-09,ddr4_desktop,basket,6.6405,4,0.667
2026-08-09,ddr4_desktop,floor,3.9831,4,
2026-08-09,ddr5_desktop,basket,15.7034,3,0.3
2026-08-09,ddr5_desktop,floor,14.3422,3,
2026-08-09,server_ecc,basket,33.5148,2,0.333
2026-08-09,server_ecc,floor,32.655,2,
2026-08-09,sodimm,basket,12.4473,4,0.8
2026-08-09,sodimm,floor,10.9375,4,
2026-08-10,ddr4_desktop,basket,6.6405,4,0.667
2026-08-10,ddr4_desktop,floor,3.9831,4,
2026-08-10,ddr5_desktop,basket,18.7036,2,0.2
2026-08-10,ddr5_desktop,floor,15.7034,2,
2026-08-10,server_ecc,basket,33.5148,2,0.333
2026-08-10,server_ecc,floor,32.655,2,
2026-08-10,sodimm,basket,12.4473,4,0.8
2026-08-10,sodimm,floor,10.9375,4,
2026-08-11,ddr4_desktop,basket,6.6405,4,0.667
2026-08-11,ddr4_desktop,floor,3.9831,4,
2026-08-11,ddr5_desktop,basket,18.7036,2,0.2
2026-08-11,ddr5_desktop,floor,15.7034,2,
2026-08-11,server_ecc,basket,33.5148,2,0.333
2026-08-11,server_ecc,floor,32.655,2,
2026-08-11,sodimm,basket,12.4473,4,0.8
2026-08-11,sodimm,floor,10.9375,4,
2026-08-12,ddr4_desktop,basket,6.6405,4,0.667
2026-08-12,ddr4_desktop,floor,3.9831,4,
2026-08-12,ddr5_desktop,basket,16.3406,1,0.1
2026-08-12,ddr5_desktop,floor,16.3406,1,
2026-08-12,server_ecc,basket,33.5148,2,0.333
2026-08-12,server_ecc,floor,32.655,2,
2026-08-12,sodimm,basket,12.4473,4,0.8
2026-08-12,sodimm,floor,10.9375,4,
2026-08-13,ddr4_desktop,basket,6.7811,4,0.667
2026-08-13,ddr4_desktop,floor,3.9831,4,
2026-08-13,ddr5_desktop,basket,15.705,1,0.1
2026-08-13,ddr5_desktop,floor,15.705,1,
2026-08-13,server_ecc,basket,33.5148,2,0.333
2026-08-13,server_ecc,floor,32.655,2,
2026-08-13,sodimm,basket,12.6783,4,0.8
2026-08-13,sodimm,floor,10.9375,4,
2026-08-14,ddr4_desktop,basket,6.7811,4,0.667
2026-08-14,ddr4_desktop,floor,3.9831,4,
2026-08-14,ddr5_desktop,basket,15.705,1,0.1
2026-08-14,ddr5_desktop,floor,15.705,1,
2026-08-14,server_ecc,basket,33.5148,2,0.333
2026-08-14,server_ecc,floor,32.655,2,
2026-08-14,sodimm,basket,12.6783,4,0.8
2026-08-14,sodimm,floor,10.9375,4,
2026-08-15,ddr4_desktop,basket,7.8122,5,0.833
2026-08-15,ddr4_desktop,floor,3.9831,5,
2026-08-15,ddr5_desktop,basket,15.7041,1,0.1
2026-08-15,ddr5_desktop,floor,15.7041,1,
2026-08-15,server_ecc,basket,32.655,2,0.333
2026-08-15,server_ecc,floor,32.655,2,
2026-08-15,sodimm,basket,12.2878,4,0.8
2026-08-15,sodimm,floor,10.9372,4,
2026-08-16,ddr4_desktop,basket,7.8122,5,0.833
2026-08-16,ddr4_desktop,floor,3.9831,5,
2026-08-16,ddr5_desktop,basket,16.0934,1,0.1
2026-08-16,ddr5_desktop,floor,16.0934,1,
2026-08-16,server_ecc,basket,32.655,2,0.333
2026-08-16,server_ecc,floor,32.655,2,
2026-08-16,sodimm,basket,12.6783,4,0.8
2026-08-16,sodimm,floor,10.9375,4,
2026-08-17,ddr4_desktop,basket,6.7967,4,0.667
2026-08-17,ddr4_desktop,floor,3.9831,4,
2026-08-17,ddr5_desktop,basket,16.0934,1,0.1
2026-08-17,ddr5_desktop,floor,16.0934,1,
2026-08-17,server_ecc,basket,32.655,3,0.5
2026-08-17,server_ecc,floor,32.655,3,
2026-08-17,sodimm,basket,14.483,4,0.8
2026-08-17,sodimm,floor,11.2188,4,
2026-08-18,ddr4_desktop,basket,6.7967,4,0.667
2026-08-18,ddr4_desktop,floor,3.9831,4,
2026-08-18,ddr5_desktop,basket,14.5544,2,0.2
2026-08-18,ddr5_desktop,floor,13.4047,2,
2026-08-18,server_ecc,basket,32.655,3,0.5
2026-08-18,server_ecc,floor,32.655,3,
2026-08-18,sodimm,basket,14.483,4,0.8
2026-08-18,sodimm,floor,11.115,4,
2026-08-19,ddr4_desktop,basket,6.7967,4,0.667
2026-08-19,ddr4_desktop,floor,3.9831,4,
2026-08-19,ddr5_desktop,basket,15.7041,1,0.1
2026-08-19,ddr5_desktop,floor,15.7041,1,
2026-08-19,server_ecc,basket,32.655,3,0.5
2026-08-19,server_ecc,floor,32.655,3,
2026-08-19,sodimm,basket,14.483,4,0.8
2026-08-19,sodimm,floor,11.115,4,
2026-08-20,ddr4_desktop,basket,6.7967,4,0.667
2026-08-20,ddr4_desktop,floor,3.9831,4,
2026-08-20,ddr5_desktop,basket,16.0916,1,0.1
2026-08-20,ddr5_desktop,floor,16.0916,1,
2026-08-20,server_ecc,basket,34.445,3,0.5
2026-08-20,server_ecc,floor,32.655,3,
2026-08-20,sodimm,basket,14.483,4,0.8
2026-08-20,sodimm,floor,11.24,4,
2026-08-21,ddr4_desktop,basket,6.7967,4,0.667
2026-08-21,ddr4_desktop,floor,3.9831,4,
2026-08-21,ddr5_desktop,basket,20.1706,2,0.2
2026-08-21,ddr5_desktop,floor,16.0916,2,
2026-08-21,server_ecc,basket,33.55,2,0.333
2026-08-21,server_ecc,floor,32.655,2,
2026-08-21,sodimm,basket,14.483,4,0.8
2026-08-21,sodimm,floor,11.115,4,
2026-08-22,ddr4_desktop,basket,6.6484,4,0.667
2026-08-22,ddr4_desktop,floor,3.9831,4,
2026-08-22,ddr5_desktop,basket,20.1039,2,0.2
2026-08-22,ddr5_desktop,floor,16.095,2,
2026-08-22,server_ecc,basket,33.55,2,0.333
2026-08-22,server_ecc,floor,32.655,2,
2026-08-22,sodimm,basket,14.483,4,0.8
2026-08-22,sodimm,floor,11.115,4,
2026-08-23,ddr4_desktop,basket,6.703,4,0.667
2026-08-23,ddr4_desktop,floor,3.9831,4,
2026-08-23,ddr5_desktop,basket,20.1039,2,0.2
2026-08-23,ddr5_desktop,floor,16.095,2,
2026-08-23,server_ecc,basket,33.55,2,0.333
2026-08-23,server_ecc,floor,32.655,2,
2026-08-23,sodimm,basket,14.5348,4,0.8
2026-08-23,sodimm,floor,11.115,4,
2026-08-24,ddr4_desktop,basket,6.6483,4,0.667
2026-08-24,ddr4_desktop,floor,4.1822,4,
2026-08-24,ddr5_desktop,basket,20.1039,2,0.2
2026-08-24,ddr5_desktop,floor,16.095,2,
2026-08-24,server_ecc,basket,32.655,3,0.5
2026-08-24,server_ecc,floor,32.655,3,
2026-08-24,sodimm,basket,14.5348,4,0.8
2026-08-24,sodimm,floor,11.5622,4,
2026-08-25,ddr4_desktop,basket,6.6483,4,0.667
2026-08-25,ddr4_desktop,floor,4.1822,4,
2026-08-25,ddr5_desktop,basket,18.9425,2,0.2
2026-08-25,ddr5_desktop,floor,13.7566,2,
2026-08-25,server_ecc,basket,32.655,3,0.5
2026-08-25,server_ecc,floor,32.655,3,
2026-08-25,sodimm,basket,14.5348,4,0.8
2026-08-25,sodimm,floor,11.5622,4,
2026-08-27,ddr4_desktop,basket,6.703,4,0.667
2026-08-27,ddr4_desktop,floor,4.1822,4,
2026-08-27,ddr5_desktop,basket,18.9425,2,0.2
2026-08-27,ddr5_desktop,floor,13.7566,2,
2026-08-27,server_ecc,basket,32.655,3,0.5
2026-08-27,server_ecc,floor,32.655,3,
2026-08-27,sodimm,basket,14.5348,4,0.8
2026-08-27,sodimm,floor,12.5,4,
2026-08-28,ddr4_desktop,basket,6.8592,4,0.667
